,industries,link
0,Information Services,/company/519777/
1,Computer Software,/company/3146/
2,Information Technology and Services,/company/13194460/
3,Computer Software,/company/2829/
4,Staffing and Recruiting,/company/490251/
5,Computer Software,/company/19867/
6,Computer & Network Security,/company/9242/
7,Computer Software,/company/214776/
8,Computer Software,/company/4238/
9,Computer Software,/company/4617/
10,Information Services,/company/519777/
11,Computer Software,/company/3146/
12,Information Technology and Services,/company/13194460/
13,Computer Software,/company/2829/
14,Staffing and Recruiting,/company/490251/
15,Computer Software,/company/19867/
16,Computer & Network Security,/company/9242/
17,Computer Software,/company/214776/
18,Computer Software,/company/4238/
19,Computer Software,/company/4617/
20,Computer Software,/company/3267/
21,Computer Software,/company/3048967/
22,Information Technology and Services,/company/7906/
23,Information Technology and Services,/company/5682/
24,Information Technology and Services,/company/165256/
25,Information Technology and Services,/company/1597/
26,Industrial Automation,/company/835844/
27,Computer Software,/company/206993/
28,Information Technology and Services,/company/112190/
29,Computer Software,/company/9624/
30,Computer Software,/company/2923561/
31,Internet,/company/49553/
32,Computer Software,/company/4426/
33,Computer Software,/company/2973/
34,Computer Software,/company/137983/
35,Computer Software,/company/163753/
36,Computer Software,/company/166574/
37,Information Technology and Services,/company/58759/
38,Computer Software,/company/31542/
39,Computer Software,/company/108422/
40,Information Technology and Services,/company/751259/
41,Computer Software,/company/80999/
42,Information Technology and Services,/company/17225/
43,Computer Software,/company/6218/
44,Computer Software,/company/285305/
45,Computer Software,/company/1118913/
46,Nonprofit Organization Management,/company/423325/
47,Computer Software,/company/15998/
48,Computer Games,/company/11905/
49,Computer Software,/company/4130/
50,Computer Software,/company/21821/
51,Computer Software,/company/5307/
52,Computer Software,/company/99595/
53,Computer Software,/company/343130/
54,Information Technology and Services,/company/6005/
55,Computer Software,/company/56815/
56,Computer Software,/company/10988/
57,Computer Software,/company/289641/
58,Computer Software,/company/264020/
59,Computer & Network Security,/company/338514/
60,Computer Software,/company/2616542/
61,Computer Software,/company/29766/
62,Computer Software,/company/61451/
63,Staffing and Recruiting,/company/1082020/
64,Computer Software,/company/42614/
65,Information Technology and Services,/company/12509/
66,Information Technology and Services,/company/24616/
67,Information Technology and Services,/company/236413/
68,Computer Software,/company/36177/
69,Computer Software,/company/244261/
70,Computer Software,/company/68326/
71,Computer Software,/company/50226/
72,Computer Software,/company/398145/
73,Information Technology and Services,/company/2971933/
74,Computer Software,/company/2793/
75,Information Technology and Services,/company/1473063/
76,Computer Software,/company/12688/
77,Computer & Network Security,/company/3090/
78,Computer Software,/company/1388765/
79,Computer Software,/company/3435/
80,Computer Software,/company/18957/
81,Computer Software,/company/215982/
82,Computer Software,/company/5336618/
83,Information Technology and Services,/company/10127/
84,Information Technology and Services,/company/223176/
85,Information Technology and Services,/company/237658/
86,Computer Games,/company/19112/
87,Computer Software,/company/2582861/
88,Computer Software,/company/6489/
89,Computer Software,/company/15520/
90,Computer Games,/company/24964/
91,Information Technology and Services,/company/15388/
92,Computer Software,/company/163985/
93,Computer Software,/company/3420/
94,Information Technology and Services,/company/17108/
95,Computer Software,/company/21032/
96,Computer Software,/company/7052/
97,Information Technology and Services,/company/20688/
98,Computer Software,/company/99012/
99,Computer Software,/company/80529/
100,Computer Software,/company/3701133/
101,Computer Software,/company/14837/
102,Computer Software,/company/3393/
103,Information Technology and Services,/company/30324/
104,Information Technology and Services,/company/129520/
105,Computer Software,/company/2880/
106,Computer Software,/company/472039/
107,Information Technology and Services,/company/2646846/
108,Computer Software,/company/97806/
109,Computer Software,/company/588674/
110,Computer Software,/company/11980/
111,Computer Software,/company/1667788/
112,Outsourcing/Offshoring,/company/208401/
113,Computer Software,/company/164012/
114,Information Technology and Services,/company/226065/
115,Information Technology and Services,/company/11928/
116,Information Technology and Services,/company/163264/
117,Computer Software,/company/45052/
118,Computer Software,/company/2416304/
119,Information Technology and Services,/company/280583/
120,Computer Software,/company/39481/
121,Computer Software,/company/9372/
122,Information Technology and Services,/company/166254/
123,Computer Software,/company/17766/
124,Computer Software,/company/246617/
125,Computer Software,/company/706432/
126,Computer Software,/company/65456/
127,Computer Software,/company/20479/
128,Computer Software,/company/10715/
129,Information Technology and Services,/company/94462/
130,Information Technology and Services,/company/906658/
131,Information Technology and Services,/company/163243/
132,Human Resources,/company/18931/
133,Information Technology and Services,/company/165147/
134,Information Technology and Services,/company/942568/
135,Entertainment,/company/10205/
136,Computer Software,/company/9407752/
137,Computer Software,/company/357877/
138,Computer Software,/company/12625/
139,Computer Software,/company/116788/
140,Computer Software,/company/375185/
141,Computer Software,/company/239787/
142,Computer Software,/company/165709/
143,Information Technology and Services,/company/114886/
144,Computer Software,/company/385372/
145,Computer Software,/company/5824/
146,Information Technology and Services,/company/710469/
147,Information Technology and Services,/company/404020/
148,Information Technology and Services,/company/902415/
149,Computer Software,/company/427243/
150,Information Technology and Services,/company/38256/
151,Information Technology and Services,/company/3639082/
152,Information Technology and Services,/company/165532/
153,Computer Software,/company/876703/
154,Computer Software,/company/7327/
155,Oil & Energy,/company/816694/
156,Computer Software,/company/10487375/
157,Computer & Network Security,/company/14388/
158,Information Technology and Services,/company/608895/
159,Information Technology and Services,/company/811499/
160,Computer Software,/company/2681277/
161,Logistics and Supply Chain,/company/1184326/
162,Information Technology and Services,/company/266640/
163,Computer Software,/company/1035/
164,Information Technology and Services,/company/1093/
165,Information Technology and Services,/company/1009/
166,Information Technology and Services,/company/1901/
167,Electrical/Electronic Manufacturing,/company/1015/
168,Computer Software,/company/2988/
169,Computer Networking,/company/1063/
170,Hospital & Health Care,/company/1016/
171,Information Technology and Services,/company/1028/
172,Defense & Space,/company/1412/
173,Electrical/Electronic Manufacturing,/company/2761/
174,Consumer Electronics,/company/208137/
175,Human Resources,/company/7785887/
176,Information Technology and Services,/company/1467/
177,Information Technology and Services,/company/2699/
178,Information Technology and Services,/company/1062/
179,Information Technology and Services,/company/8934/
180,Automotive,/company/7412/
181,Medical Devices,/company/2371/
182,Oil & Energy,/company/1468/
183,Computer Software,/company/1879/
184,Staffing and Recruiting,/company/2307/
185,Education Management,/company/2933/
186,Biotechnology,/company/1526/
187,Automotive,/company/2211/
188,Electrical/Electronic Manufacturing,/company/336380/
189,Semiconductors,/company/4251/
190,Entertainment,/company/1449/
191,Computer Software,/company/1480/
192,Automotive,/company/2865/
193,Printing,/company/1515/
194,Medical Devices,/company/5628/
195,Medical Devices,/company/164175/
196,Aviation & Aerospace,/company/2003/
197,Information Technology and Services,/company/5461/
198,Semiconductors,/company/164778/
199,Internet,/company/68529/
