,Company Name,Industry,City,State,LIEmployees,Company Type,Description,Website,Specialties
0,Medical Data Analytics,Research,Parsippany,New Jersey,11,Privately Held,"Medical Data Analytics (MDA) is a global health economics and outcomes research (GHEOR) consulting firm with over two decades of experience specializing in chart study design and implementation for the life-sciences industry. Our custom chart studies have informed clinical trial design, market access, safety, and commercial strategies for start-up to multinational life-sciences organizations.

We are trusted experts in custom GHEOR Chart Studies:
o Disease incidence and prevalence
o Disease characterization
o Burden of Illness
o Treatment patterns
o Resource utilization
o Clinical outcomes
o Patient-reported outcomes
o Patient registries

MDA will assist you in GHEOR planning, design and implementation. To learn more about how MDA can help you meet your GHEOR objectives, please email us at info@MDAcharts.com or call +1 973-359-2772.",http://mdacharts.com,"['Disease prevalence/incidence', ' Disease profiling', ' Patient-reported outcomes', ' Treatment algorithms', ' Clinical outcomes and resource utilization', ' Survival analysis', ' and Market sizing and demand forecasting']"
1,SG Analytics,Research,Pune,Maharashtra,855,Privately Held,"SG Analytics offers combined research and analytics services. We are leveraging vast experience across knowledge processing disciplines, including Investment Research, Market Research, and Analytics along with innovative technologies to deliver high-end solutions to our global clients. ",http://www.sganalytics.com,"['Investment Research', ' Equity Research', ' Data Analytics', ' Market Research', ' Research Production & Reporting', ' Fixed Income Research', ' Sector Research', ' Investment Banking', ' Valuations', ' Business Consulting', ' ESG Research', ' Quantitative Research', ' and Visual Analytics']"
2,Evidera,Research,Bethesda,MD,431,Privately Held,"Evidera is a business unit within Pharmaceutical Product Development, LLC, (PPD) a leading global contract research organization (CRO), and is the preeminent provider of evidence-based solutions to demonstrate the real-world effectiveness, safety, and value of biopharmaceutical and biotechnology products from early development through loss of exclusivity. We provide integrated scientific expertise and global operational capabilities to help you generate the evidence needed to optimize the market access and commercial potential of your products.

Evidera was acquired by PPD in 2016 and originally created in 2013 as an independent company under the ownership of Symphony Technology Group following the acquisition of long-standing health economics, outcomes research, market access, epidemiology, and data analytics practices from United BioSource Corporation (UBC). Evidera has over 30 years of leadership and experience and its legacy brands include MEDTAP, Caro Research, Abt Bio-Pharmaceutical Solutions, MetaWorks, Total Healthcare Group, and Archimedes.",http://www.evidera.com/,"['Life Sciences', ' Consulting', ' Evalytica (evalytica.com)', ' Meta Research', ' Modeling and Simulation', ' Outcomes Research', ' Market Access Communications', ' Market Access Consulting', ' Real-World Evidence: Data Collection & Analytics', ' Value & Evidence Planning', ' Patient-Centered Research', ' Interventional Studies', ' Pragmatic Studies', ' Medical Writing and Healthcare Communications', ' Health Economics', ' and Epidemiology']"
3,Brandon Hall Group,Research,Delray Beach,FL,32,Privately Held,"With more than 10,000 clients globally and 20 years of delivering world-class research and advisory services, Brandon Hall Group is the most well-known and established research organization in the performance improvement industry. We are focused on developing research that drives performance in emerging and large organizations, and provides strategic insights for executives and practitioners responsible for growth and business results.

At the core of our offerings is a Membership Program that combines research, benchmarking and unlimited access to data and analysts. The Membership Program offers insights and best practices to enable executives and practitioners to make the right decisions about people, processes, and systems, coalesced with analyst advisory services which aim to put the research into action in a way that is practical and efficient.

For additional information about Brandon Hall Group please contact Mike Cooke:  (561) 865-5017 or mike.cooke@brandonhall.com, http://www.brandonhall.com.

#Learning #Development #Talentmanagement #Sales #Marketing #Talentaquisition #HCM #humancapitalmanagement #research #analytics #business #advisory #consulting #Humanresources #Workforcemanagement",http://www.brandonhall.com,"['learning & development', ' talent management', ' sales & marketing', ' executive management', ' human resources', ' talent acquisition', ' workforce management', ' human capital management', ' market research', ' business analytics', ' consulting', ' and advisory']"
4,PCCI,Research,Dallas,TX,123,Nonprofit,"PCCI is an advanced, nonprofit healthcare analytics R&D organization with a collaborative team of expert data scientists and knowledgeable healthcare professionals that go beyond analyzing a patient’s medical data to provide all-encompassing insights that are revolutionizing healthcare.

Our mission is to reimagine and expand the knowledge base of healthcare through prescriptive analytics and artificial intelligence to deliver precision medicine.",http://PCCInnovation.org,"['Research and Development', ' Health Information Technology', ' Predictive Analytics', ' Software', ' Innovation', ' Data Science', ' and Prescriptive Analytics']"
5,Centrum Wiskunde & Informatica,Research,Amsterdam,The Netherlands,212,Nonprofit,"Centrum Wiskunde & Informatica (CWI) performs fundamental scientific research in mathematics and computer science. CWI transfers the acquired knowledge to society and industry. The institute's strategy for the period up to 2017 is inspired by five broad, societally relevant themes: software, information, logistics, life sciences and energy.",http://www.cwi.nl,"['science', ' research', ' mathematics', ' and computer science']"
6,Simons Foundation,Research,New York City,New York,196,Nonprofit,"The Simons Foundation is a private foundation established in 1994 in New York City by Jim and Marilyn Simons. With an annual grants and programs budget of $300 million, the foundation’s mission is to advance the frontiers of research in mathematics and the basic sciences.

The foundation pursues its mission through its grant-making division, comprising programs in Mathematics & Physical Sciences, Life Sciences, Education & Outreach and autism research, and through its internal research division, the Flatiron Institute.

FLATIRON INSTITUTE
The mission of the Flatiron Institute is to advance scientific research through computational methods, including data analysis, modeling and simulation.

New experimental techniques in many fields of study are creating enormous amounts of raw, complex and sometimes noisy data. Understanding and learning from these data and modelling the complex processes they reflect is a pressing concern in the scientific community. At the same time, advances in concepts, algorithms and computation are enabling new kinds of simulations that can capture rich nonlinear, and often time-dependent, processes. These simulations demand increased sophistication in scientific technique, algorithmic development and computation.

The Simons Foundation launched the Flatiron Institute to address these challenges, developing new conceptual, algorithmic and computational methods and bringing them to bear on important scientific issues. The institute provides a highly interactive research environment for physicists, biologists, astronomers, chemists, computational scientists, data scientists and programmers to work together to create, deploy, apply and support state-of-the-art computational methods.

The institute currently comprises the Center for Computational Biology, launched in 2013 as the Simons Center for Data Analysis; the Center for Computational Astrophysics, launched in 2016; and the Center for Computational Quantum Physics, launched in 2017. The work of these centers is supported by the Scientific Computing Core.

To learn more, please visit the: https://www.simonsfoundation.org/flatiron/


MATHEMATICS & PHYSICAL SCIENCES (MPS)
The Mathematics & Physical Sciences program supports work in mathematics, theoretical computer science and theoretical physics. 

LIFE SCIENCES
The Life Sciences program works to advance basic research in life sciences, with, among other efforts, large grant programs in ocean ecology and in the origins of life.

SIMONS FOUNDATION AUTISM RESEARCH INITIATIVE (SFARI)
The Simons Foundation Autism Research Initiative is a campaign that aims to improve the understanding, diagnosis and treatment of autism by funding innovative research of the highest quality and relevance. SFARI also supports the editorially independent autism research news site Spectrum.

OUTREACH & EDUCATION
Outreach & Education supports and promotes scientific literacy in society generally. Specifically, the program supports the nonprofit Math for America and the independent science news site, Quanta Magazine. This program’s Science Sandbox initiative seeks to unlock scientific thinking in all people, so that science becomes a more integral part of culture.

You may access our 2016 online annual report here: https://www.simonsfoundation.org/report2016/stories/",http://www.simonsfoundation.org,"['Research', ' Mathematics', ' Computational Astrophysics', ' Computational Biology', ' Computational Quantum Physics', ' Scientific Computing', ' Autism Research', ' STEM Education', ' Grant Giving', ' Informatics', ' Science', ' Life Sciences', ' Physical Sciences', ' Philanthropy', ' and Software Engineering']"
7,"TMT International Observatory, LLC",Research,Pasadena,CA,68,Nonprofit,"The TMT International Observatory, LLC (TIO) is a non-profit organization managing the development and construction of the Thirty Meter Telescope, a large optical-infrared telescope to be built near the summit of Mauna Kea on Hawaii Island by an international partnership.

The observatory project office in Pasadena leads and coordinates the work at partner locations. The Members of TIO are Caltech, UC, the National Institutes of Natural Sciences of Japan, the National Astronomical Observatories of the Chinese Academy of Sciences, the Department of Science and Technology and the Department of Atomic Energy of India, and the National Research Council (Canada); the Association of Universities for Research in Astronomy (AURA) is a TIO Associate. Major funding has been provided by the Gordon & Betty Moore Foundation. 

The TMT will be one of the world’s largest ground-based optical/infrared telescopes, and will represent the forefront of technology in every aspect of its design:

* The structure will consist of a primary mirror with 492 individual 1.45-meter segments that together measure 30 meters in diameter, providing more than eight times the collecting area of the current largest telescope.

* All mirrored segments will be guided with precision computer control in order to work together as one single mirror, building on the technology developed for the 10-meter mirrors in the two Keck telescopes in Hawaii.

* Adaptive optics (AO) will allow the TMT to achieve a resolution superior to that of the Hubble Space Telescope, using six laser beams to create six luminous spots in a layer of sodium atoms high in Earth's upper atmosphere. These bright artificial stars serve as references for measuring the turbulence in the atmosphere, allowing the AO system to compensate for blurring of starlight by Earth's fluctuating atmosphere.

For more information, visit tmt.org , MaunaKeaAndTMT.org, www.facebook.com/TMTHawaii or follow @TMTHawaii.",http://www.tmt.org,"['astronomy', ' engineering', ' project management', ' optics', ' software', ' systems engineering', ' quality assurance', ' international collaborations', ' research', ' and science']"
8,"SSN Institutions, Chennai, India",Research,Chennai,Tamilnadu,574,Educational Institution,"SSN Institutions, comprising of SSN College of Engineering, SSN School of Management, SSN School of Advanced Software Engineering, and SSN Research Center, are ideally located on a sprawling 250 acre campus on the Rajiv Gandhi Salai – known as the ‘Cyber Corridor’ of Chennai, India. The campus is fully wi-fi enabled and comprises aesthetically designed buildings that are networked by optic fibre links. The Institutions have established excellent infrastructure, including state-of-the-art computer and internet facilities, modern workshops and labs, seminar halls, auditoriums and well stocked libraries, in addition to indoor stadium with gymnasium, sports and games fields.

Dedicated campus-wide internet facility provides the opportunity to every SSN student to be in touch with the latest in the Information Age. A committed team of faculty and staff play an integral role in the realization of the Institution’s quest for educational excellence in IT and emerging fields.

As an exemplary institution of learning, the SSN follows an admission policy that strongly favours merit, even as it enables access to education for students from all strata of society through appropriate scholarships. While the Institution encourages its students in the path of academic excellence, adequate emphasis is also laid on soft skills, co-curricular and extra-curricular activities.

In such an atmosphere, one that is conducive to achievement, every SSN student has the opportunity to excel in his or her chosen field.",http://www.ssn.edu.in/,['Engineering Education and Engineering Research']
9,Creare,Research,Hanover,NH,141,Privately Held,"Creare provides engineering research and development services to an international customer base. We have a reputation for creating innovative solutions to the most challenging engineering problems. Typical projects include analysis, design, computational modeling, prototype fabrication and testing.

Creare solves your toughest R&D, product design, process development and prototyping problems.  By applying our exceptional engineering talent, computer modeling capabilities, and advanced manufacturing techniques, we deliver timely solutions that will exceed your expectations.  Our customers depend on Creare services to help innovate new products, gain the competitive advantage and shorten time-to-market.

Founded in 1961, Creare is a company of approximately 150 people, including 60+ advanced degree engineers. Creare's location in Hanover, New Hampshire, offers the best of four-season living in a New England college town. The area offers exceptional opportunities for the outdoor enthusiast, excellence in medical centers and schools, and cultural amenities offered by Dartmouth College. 

Please contact Creare (info@creare.com) to learn more about our engineering services or employment opportunities.",http://www.creare.com,"['Biomedical Engineering', ' Cryogenics', ' Fluid and Thermal Systems', ' Sensors and Controls', ' Advanced Manufacturing', ' Power Systems', ' Signal and Image Processing', ' Software Development', ' and Modeling and Simulation']"
